,sp_name,sp_artist,sp_url,year,popularity,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,bbd
8121,"Mac Dre Day (feat. Nef the Pharaoh, J-Diggs, D-Lo & Mistah Fab)",Mac Dre,https://open.spotify.com/track/2gMQivNbWaNr1aqhe7Krhv,1993,38,0.0226,https://api.spotify.com/v1/audio-analysis/2gMQivNbWaNr1aqhe7Krhv,0.748,349878,0.52,2gMQivNbWaNr1aqhe7Krhv,0.0,1,0.16399999999999998,-5.882999999999999,1,0.305,90.444,4,https://api.spotify.com/v1/tracks/2gMQivNbWaNr1aqhe7Krhv,audio_features,spotify:track:2gMQivNbWaNr1aqhe7Krhv,0.281,1
8122,One Last Cry,Brian McKnight,https://open.spotify.com/track/3l9OCOG3Vt6c2lxeMyGSIY,1993,62,0.909,https://api.spotify.com/v1/audio-analysis/3l9OCOG3Vt6c2lxeMyGSIY,0.355,295358,0.126,3l9OCOG3Vt6c2lxeMyGSIY,0.000337,11,0.131,-13.800999999999998,1,0.0301,109.76899999999999,4,https://api.spotify.com/v1/tracks/3l9OCOG3Vt6c2lxeMyGSIY,audio_features,spotify:track:3l9OCOG3Vt6c2lxeMyGSIY,0.102,1
8123,I Get Around,2Pac,https://open.spotify.com/track/4voEoczU7Ijborps9XF1n3,1993,68,0.156,https://api.spotify.com/v1/audio-analysis/4voEoczU7Ijborps9XF1n3,0.846,259000,0.41600000000000004,4voEoczU7Ijborps9XF1n3,9.34e-06,10,0.23800000000000002,-13.767000000000001,0,0.11800000000000001,96.18799999999999,4,https://api.spotify.com/v1/tracks/4voEoczU7Ijborps9XF1n3,audio_features,spotify:track:4voEoczU7Ijborps9XF1n3,0.645,1
8124,Bed Of Roses,Bon Jovi,https://open.spotify.com/track/1zng9uqqXoPkmU05nsAlsw,1993,72,0.10099999999999999,https://api.spotify.com/v1/audio-analysis/1zng9uqqXoPkmU05nsAlsw,0.309,394400,0.596,1zng9uqqXoPkmU05nsAlsw,0.0,5,0.21,-5.599,1,0.0293,164.58700000000002,3,https://api.spotify.com/v1/tracks/1zng9uqqXoPkmU05nsAlsw,audio_features,spotify:track:1zng9uqqXoPkmU05nsAlsw,0.161,1
8125,Real Love,Mary J. Blige,https://open.spotify.com/track/3XG801WWhqC753dekEBkMt,1993,63,0.11900000000000001,https://api.spotify.com/v1/audio-analysis/3XG801WWhqC753dekEBkMt,0.769,269973,0.7809999999999999,3XG801WWhqC753dekEBkMt,0.000371,0,0.0506,-5.472,1,0.0797,95.02,4,https://api.spotify.com/v1/tracks/3XG801WWhqC753dekEBkMt,audio_features,spotify:track:3XG801WWhqC753dekEBkMt,0.826,1
8126,Here We Go Again! - Radio Edit,Portrait,https://open.spotify.com/track/5rIr1MOh4cWwpdln1QqTPS,1993,38,0.0256,https://api.spotify.com/v1/audio-analysis/5rIr1MOh4cWwpdln1QqTPS,0.7709999999999999,235200,0.745,5rIr1MOh4cWwpdln1QqTPS,0.00037400000000000004,11,0.107,-10.217,0,0.0904,106.709,4,https://api.spotify.com/v1/tracks/5rIr1MOh4cWwpdln1QqTPS,audio_features,spotify:track:5rIr1MOh4cWwpdln1QqTPS,0.599,1
8127,Cryin',Aerosmith,https://open.spotify.com/track/0NJC0FDCODpPUntRTTQq97,1993,69,0.000202,https://api.spotify.com/v1/audio-analysis/0NJC0FDCODpPUntRTTQq97,0.445,308333,0.856,0NJC0FDCODpPUntRTTQq97,0.0101,9,0.36700000000000005,-3.674,1,0.0327,105.87200000000001,3,https://api.spotify.com/v1/tracks/0NJC0FDCODpPUntRTTQq97,audio_features,spotify:track:0NJC0FDCODpPUntRTTQq97,0.486,1
8128,Bad Day,Daniel Powter,https://open.spotify.com/track/0mUyMawtxj1CJ76kn9gIZK,2006,75,0.44799999999999995,https://api.spotify.com/v1/audio-analysis/0mUyMawtxj1CJ76kn9gIZK,0.599,233640,0.785,0mUyMawtxj1CJ76kn9gIZK,0.00336,3,0.151,-4.013,1,0.0309,140.046,4,https://api.spotify.com/v1/tracks/0mUyMawtxj1CJ76kn9gIZK,audio_features,spotify:track:0mUyMawtxj1CJ76kn9gIZK,0.52,1
8129,Temperature,Sean Paul,https://open.spotify.com/track/0k2GOhqsrxDTAbFFSdNJjT,2006,75,0.106,https://api.spotify.com/v1/audio-analysis/0k2GOhqsrxDTAbFFSdNJjT,0.951,218573,0.6,0k2GOhqsrxDTAbFFSdNJjT,0.0,0,0.0712,-4.675,0,0.0685,125.04,4,https://api.spotify.com/v1/tracks/0k2GOhqsrxDTAbFFSdNJjT,audio_features,spotify:track:0k2GOhqsrxDTAbFFSdNJjT,0.8220000000000001,1
8130,End Of The Road,Boyz II Men,https://open.spotify.com/track/3l3xTXsUXeWlkPqzMs7mPD,1992,71,0.0664,https://api.spotify.com/v1/audio-analysis/3l3xTXsUXeWlkPqzMs7mPD,0.64,351467,0.42700000000000005,3l3xTXsUXeWlkPqzMs7mPD,0.0,5,0.0579,-9.29,0,0.0241,149.703,3,https://api.spotify.com/v1/tracks/3l3xTXsUXeWlkPqzMs7mPD,audio_features,spotify:track:3l3xTXsUXeWlkPqzMs7mPD,0.529,1
