,ranking,artist,song,year
247,34.0,Justin Bieber feat. Big Sean,As Long as You Love Me,2012
248,35.0,David Guetta feat. Nicki Minaj,Turn Me On,2012
249,36.0,Maroon 5 feat. Christina Aguilera,Moves Like Jagger,2012
250,37.0,P!nk,Blow Me (One Last Kiss),2012
251,7.0,The Chainsmokers Featuring Halsey,Closer,2017
252,1.0,Mark Ronson feat. Bruno Mars,Uptown Funk!,2015
253,1.0,Mark Ronson feat. Bruno Mars,Uptown Funk!,2015
254,38.0,Owl City and Carly Rae Jepsen,Good Time,2012
255,39.0,Demi Lovato,Give Your Heart A Break,2012
256,40.0,Jay Z and Kanye West,Ni**As In Paris,2012
257,41.0,Katy Perry,The One That Got Away,2012
258,42.0,Calvin Harris,Feel So Close,2012
259,8.0,Sam Hunt,Body Like A Back Road,2017
260,1.0,Mark Ronson feat. Bruno Mars,Uptown Funk!,2015
261,43.0,Adele,Someone Like You,2012
262,44.0,Usher,Scream,2012
263,45.0,Tyga,Rack City,2012
264,46.0,Jessie J,Domino,2012
265,47.0,PSY,Gangnam Style,2012
266,48.0,Pitbull feat. Chris Brown,International Love,2012
267,49.0,Phillip Phillips,Home,2012
268,50.0,David Guetta feat. Usher,Without You,2012
269,9.0,Imagine Dragons,Believer,2017
270,1.0,Mark Ronson feat. Bruno Mars,Uptown Funk!,2015
271,51.0,Gym Class Heroes feat. Neon Hitch,Ass Back Home,2012
272,52.0,Hunter Hayes,Wanted,2012
273,53.0,Luke Bryan,Drunk On You,2012
274,54.0,2 Chainz feat. Drake,No Lie,2012
275,55.0,Cher Lloyd,Want U Back,2012
276,56.0,Chris Brown,Don’t Wake Me Up,2012
277,57.0,Big Sean feat. Nicki Minaj,Dance (A$$),2012
278,10.0,Post Malone Featuring Quavo,Congratulations,2017
279,1.0,Mark Ronson feat. Bruno Mars,Uptown Funk!,2015
280,58.0,Eric Church,Springsteen,2012
281,59.0,Karmin,Brokenhearted,2012
282,60.0,Gavin DeGraw,Not Over You,2012
283,61.0,Gym Class Heroes feat. Adam Levine,Stereo Hearts,2012
284,62.0,Pitbull,Back In Time,2012
285,63.0,J. Cole,Work Out,2012
286,64.0,Adele,Rumour Has It,2012
287,65.0,Calvin Harris feat. Ne-Yo,Let’s Go,2012
288,66.0,Carrie Underwood,Good Girl,2012
289,1.0,Wham!,Careless Whisper,1985
290,2.0,Madonna,Like A Virgin,1985
291,3.0,Wham!,Wake Me Up Before You Go-Go,1985
292,1.0,Prince,When Doves Cry,1984
293,1.0,Police,Every Breath You Take,1983
294,2.0,Michael Jackson,Billie Jean,1983
295,3.0,Irene Cara,Flashdance… What A Feeling,1983
296,4.0,Men At Work,Down Under,1983
297,5.0,Michael Jackson,Beat It,1983
298,6.0,Bonnie Tyler,Total Eclipse Of The Heart,1983
299,1.0,Ke$ha,TiK ToK,2010
300,11.0,James Arthur,Say You Won’t Let Go,2017
301,1.0,Mark Ronson feat. Bruno Mars,Uptown Funk!,2015
302,67.0,Little Big Town,Pontoon,2012
303,68.0,The Lumineers,Ho Hey,2012
304,69.0,Coldplay,Paradise,2012
305,70.0,Carrie Underwood,Blown Away,2012
306,4.0,Foreigner,I Want To Know What Love Is,1985
307,5.0,Chaka Khan,I Feel For You,1985
308,6.0,Daryl Hall and John Oates,Out Of Touch,1985
309,7.0,Tears For Fears,Everybody Wants To Rule The World,1985
310,8.0,Dire Straits,Money For Nothing,1985
311,9.0,Madonna,Crazy For You,1985
312,10.0,A-Ha,Take On Me,1985
313,11.0,Paul Young,Everytime You Go Away,1985
314,12.0,Phil Collins and Philip Bailey,Easy Lover,1985
315,2.0,Tina Turner,What’s Love Got To Do With It,1984
316,3.0,Paul McCartney and Michael Jackson,Say Say Say,1984
317,4.0,Kenny Loggins,Footloose,1984
318,5.0,Phil Collins,Against All Odds (Take A Look At Me Now),1984
319,6.0,Van Halen,Jump,1984
320,7.0,Lionel Richie,Hello,1984
321,8.0,Yes,Owner Of A Lonely Heart,1984
322,9.0,Ray Parker Jr.,Ghostbusters,1984
323,10.0,Culture Club,Karma Chameleon,1984
324,7.0,Daryl Hall and John Oates,Maneater,1983
325,8.0,Patti Austin and James Ingram,Baby Come To Me,1983
326,9.0,Michael Sembello,Maniac,1983
327,2.0,Lady Antebellum,Need You Now,2010
328,3.0,Train,"Hey, Soul Sister",2010
329,4.0,Katy Perry feat. Snoop Dogg,California Gurls,2010
330,5.0,Usher feat. will.i.am,OMG,2010
331,6.0,B.o.B feat. Hayley Williams,Airplanes,2010
332,7.0,Eminem feat. Rihanna,Love The Way You Lie,2010
333,8.0,Lady Gaga,Bad Romance,2010
334,9.0,Taio Cruz,Dynamite,2010
335,12.0,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",I’m The One,2017
336,1.0,Mark Ronson feat. Bruno Mars,Uptown Funk!,2015
337,71.0,Adele,Rolling In The Deep,2012
338,72.0,Usher,Climax,2012
339,73.0,Wiz Khalifa,"Work Hard, Play Hard",2012
340,74.0,Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),2012
341,75.0,Nicki Minaj,Pound The Alarm,2012
342,76.0,Kenny Chesney,Come Over,2012
343,13.0,REO Speedwagon,Can’t Fight This Feeling,1985
344,14.0,Starship,We Built This City,1985
345,15.0,Huey Lewis and The News,The Power Of Love,1985
346,16.0,Simple Minds,Don’t You (Forget About Me),1985
347,17.0,Kool and The Gang,Cherish,1985
348,18.0,John Parr,St. Elmo’s Fire (Man In Motion),1985
349,19.0,Glenn Frey,The Heat Is On,1985
350,11.0,John Waite,Missing You,1984
351,12.0,Lionel Richie,All Night Long (All Night),1984
352,13.0,Deniece Williams,Let’s Hear It For The Boy,1984
353,14.0,Bruce Springsteen,Dancing In The Dark,1984
354,15.0,Cyndi Lauper,Girls Just Want To Have Fun,1984
355,16.0,Duran Duran,The Reflex,1984
356,17.0,Cyndi Lauper,Time After Time,1984
357,10.0,Eurythmics,Sweet Dreams (Are Made Of This),1983
358,11.0,Culture Club,Do You Really Want To Hurt Me,1983
359,12.0,Eddie Rabbitt and Crystal Gayle,You And I,1983
360,13.0,Dexy’s Midnight Runners,Come On Eileen,1983
361,14.0,Bob Seger and The Silver Bullet Band,Shame On The Moon,1983
362,15.0,Donna Summer,She Works Hard For The Money,1983
363,10.0,Taio Cruz feat. Ludacris,Break Your Heart,2010
364,11.0,B.o.B feat. Bruno Mars,Nothin’ On You,2010
365,12.0,Enrique Iglesias feat. Pitbull,I Like It,2010
366,13.0,Young Money feat. Lloyd,Bedrock,2010
367,14.0,Jason Derulo,In My Head,2010
368,15.0,Rihanna,Rude Boy,2010
369,16.0,Lady Gaga feat. Beyonce,Telephone,2010
370,17.0,Katy Perry,Teenage Dream,2010
371,18.0,Bruno Mars,Just The Way You Are,2010
372,19.0,Mike Posner,Cooler Than Me,2010
373,20.0,Black Eyed Peas,Imma Be,2010
