,sp_name,sp_artist,sp_url,year,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
2104,This Time I'm In It For Love,Player,https://open.spotify.com/track/0WEbxRkrGvgDQ5eBm6iH8n,1978,0.0898,https://api.spotify.com/v1/audio-analysis/0WEbxRkrGvgDQ5eBm6iH8n,0.687,265221,0.409,0WEbxRkrGvgDQ5eBm6iH8n,7.21e-06,7,0.0768,-11.369,1,0.0301,104.448,4,https://api.spotify.com/v1/tracks/0WEbxRkrGvgDQ5eBm6iH8n,audio_features,spotify:track:0WEbxRkrGvgDQ5eBm6iH8n,0.828
2105,You Belong To Me,Carly Simon,https://open.spotify.com/track/3pErM4EiWKf3k8KU3jjbXn,1978,0.26,https://api.spotify.com/v1/audio-analysis/3pErM4EiWKf3k8KU3jjbXn,0.635,232667,0.661,3pErM4EiWKf3k8KU3jjbXn,1.01e-05,5,0.0906,-7.848,0,0.0471,108.975,4,https://api.spotify.com/v1/tracks/3pErM4EiWKf3k8KU3jjbXn,audio_features,spotify:track:3pErM4EiWKf3k8KU3jjbXn,0.857
2106,Here You Come Again,Dolly Parton,https://open.spotify.com/track/6H7nDglS6xWpRidbhMwI2L,1978,0.647,https://api.spotify.com/v1/audio-analysis/6H7nDglS6xWpRidbhMwI2L,0.529,179491,0.511,6H7nDglS6xWpRidbhMwI2L,0.00724,1,0.0391,-9.37,1,0.0418,106.491,4,https://api.spotify.com/v1/tracks/6H7nDglS6xWpRidbhMwI2L,audio_features,spotify:track:6H7nDglS6xWpRidbhMwI2L,0.559
2107,Blue Bayou,Linda Ronstadt,https://open.spotify.com/track/3zxklD2EGecZre9MjEEvIU,1978,0.739,https://api.spotify.com/v1/audio-analysis/3zxklD2EGecZre9MjEEvIU,0.732,239400,0.161,3zxklD2EGecZre9MjEEvIU,0.000379,11,0.105,-12.817,1,0.0306,95.21,4,https://api.spotify.com/v1/tracks/3zxklD2EGecZre9MjEEvIU,audio_features,spotify:track:3zxklD2EGecZre9MjEEvIU,0.5
2108,Peg,Steely Dan,https://open.spotify.com/track/5DQAHkO9U4IZIombHefcqK,1978,0.0608,https://api.spotify.com/v1/audio-analysis/5DQAHkO9U4IZIombHefcqK,0.797,240293,0.566,5DQAHkO9U4IZIombHefcqK,0.000362,7,0.14,-11.132,1,0.0321,116.976,4,https://api.spotify.com/v1/tracks/5DQAHkO9U4IZIombHefcqK,audio_features,spotify:track:5DQAHkO9U4IZIombHefcqK,0.939
2109,You Needed Me,Anne Murray,https://open.spotify.com/track/5d4E1hgkLyb7sXr5J3InnM,1978,0.431,https://api.spotify.com/v1/audio-analysis/5d4E1hgkLyb7sXr5J3InnM,0.497,220267,0.296,5d4E1hgkLyb7sXr5J3InnM,0.0,9,0.106,-10.756,1,0.0302,62.204,4,https://api.spotify.com/v1/tracks/5d4E1hgkLyb7sXr5J3InnM,audio_features,spotify:track:5d4E1hgkLyb7sXr5J3InnM,0.171
2110,You're Sixteen (You’re Beautiful And You’re Mine),Ringo Starr,https://open.spotify.com/track/4MAxWahEbzU8m4bD6mSZg9,1974,0.0381,https://api.spotify.com/v1/audio-analysis/4MAxWahEbzU8m4bD6mSZg9,0.665,169693,0.629,4MAxWahEbzU8m4bD6mSZg9,1.84e-05,8,0.0637,-12.852,1,0.0441,124.265,4,https://api.spotify.com/v1/tracks/4MAxWahEbzU8m4bD6mSZg9,audio_features,spotify:track:4MAxWahEbzU8m4bD6mSZg9,0.856
2111,If You Love Me (Let Me Know) [Live],Olivia Newton-John,https://open.spotify.com/track/659kkKUPzX3KyWiRkL8OS1,1974,0.00262,https://api.spotify.com/v1/audio-analysis/659kkKUPzX3KyWiRkL8OS1,0.564,101453,0.851,659kkKUPzX3KyWiRkL8OS1,3.33e-05,5,0.928,-7.235,1,0.0648,135.879,4,https://api.spotify.com/v1/tracks/659kkKUPzX3KyWiRkL8OS1,audio_features,spotify:track:659kkKUPzX3KyWiRkL8OS1,0.762
2112,Dark Lady,Cher,https://open.spotify.com/track/16ShgoIW9TtfzUFHOJJIvC,1974,0.49,https://api.spotify.com/v1/audio-analysis/16ShgoIW9TtfzUFHOJJIvC,0.527,209200,0.405,16ShgoIW9TtfzUFHOJJIvC,0.0,8,0.0936,-14.534,1,0.0385,146.721,4,https://api.spotify.com/v1/tracks/16ShgoIW9TtfzUFHOJJIvC,audio_features,spotify:track:16ShgoIW9TtfzUFHOJJIvC,0.439
2113,Best Thing That Ever Happened to Me,Gladys Knight & The Pips,https://open.spotify.com/track/0bYwN4LqZYLfs9ZEHPXjBC,1974,0.309,https://api.spotify.com/v1/audio-analysis/0bYwN4LqZYLfs9ZEHPXjBC,0.352,224987,0.545,0bYwN4LqZYLfs9ZEHPXjBC,0.0564,1,0.106,-11.939,0,0.0871,189.498,4,https://api.spotify.com/v1/tracks/0bYwN4LqZYLfs9ZEHPXjBC,audio_features,spotify:track:0bYwN4LqZYLfs9ZEHPXjBC,0.459
2114,Feel Like Makin' Love,Roberta Flack,https://open.spotify.com/track/7gkboYtvhuXNS4EUwmFPcw,1974,0.833,https://api.spotify.com/v1/audio-analysis/7gkboYtvhuXNS4EUwmFPcw,0.681,175400,0.264,7gkboYtvhuXNS4EUwmFPcw,0.441,8,0.103,-21.861,1,0.0309,93.809,4,https://api.spotify.com/v1/tracks/7gkboYtvhuXNS4EUwmFPcw,audio_features,spotify:track:7gkboYtvhuXNS4EUwmFPcw,0.692
